scorer,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170
7,327.18798828125,678.7750244140625,0.9990000128746033,309.7879943847656,723.6339721679688,0.9980000257492065,345.47601318359375,716.364013671875,0.996999979019165,329.3299865722656,735.2210083007812,0.9950000047683716,321.2980041503906,778.5250244140625,0.9959999918937683,369.3710021972656,755.9539794921875,0.9940000176429749,356.6029968261719,797.0230102539062,0.9900000095367432,824.3720092773438,174.67599487304688,0.9990000128746033,841.2670288085938,202.59500122070312,0.9959999918937683,861.7760009765625,183.76800537109375,0.9980000257492065,866.47802734375,204.58999633789062,0.9940000176429749,879.10302734375,244.58799743652344,0.996999979019165,909.4959716796875,222.302001953125,0.996999979019165,910.0189819335938,250.39500427246094,0.9980000257492065
8,327.18798828125,678.7750244140625,0.9990000128746033,309.7879943847656,723.6199951171875,0.9980000257492065,345.52801513671875,716.364013671875,0.996999979019165,329.343994140625,735.2210083007812,0.9950000047683716,321.3110046386719,778.5250244140625,0.9959999918937683,369.3699951171875,755.9539794921875,0.9929999709129333,356.60198974609375,797.0230102539062,0.9900000095367432,824.3720092773438,174.66000366210938,0.9990000128746033,841.2670288085938,202.59100341796875,0.9959999918937683,861.7760009765625,183.76600646972656,0.9980000257492065,866.4819946289062,204.58900451660156,0.9940000176429749,879.0869750976562,244.58200073242188,0.996999979019165,909.4959716796875,222.2209930419922,0.996999979019165,910.0189819335938,250.39100646972656,0.9980000257492065
9,327.3089904785156,678.7750244140625,0.9990000128746033,309.7879943847656,723.6199951171875,0.9980000257492065,345.72900390625,716.4089965820312,0.996999979019165,329.3299865722656,735.2169799804688,0.9950000047683716,321.35198974609375,778.5800170898438,0.9959999918937683,369.3699951171875,755.8519897460938,0.9940000176429749,356.59698486328125,797.0239868164062,0.9900000095367432,824.3670043945312,174.6510009765625,0.9990000128746033,841.2769775390625,202.59500122070312,0.9959999918937683,861.7760009765625,183.76199340820312,0.9980000257492065,866.4819946289062,204.58999633789062,0.9940000176429749,879.0850219726562,244.57899475097656,0.996999979019165,909.5230102539062,222.21600341796875,0.996999979019165,910.0189819335938,250.38999938964844,0.9980000257492065
10,327.3110046386719,678.7659912109375,0.9990000128746033,309.8139953613281,723.56201171875,0.9980000257492065,345.7690124511719,716.4249877929688,0.996999979019165,329.3290100097656,735.2150268554688,0.9950000047683716,321.35400390625,778.5800170898438,0.9959999918937683,369.3699951171875,755.7860107421875,0.9940000176429749,356.5820007324219,797.0440063476562,0.9900000095367432,824.3670043945312,174.6510009765625,0.9990000128746033,841.2830200195312,202.59500122070312,0.9959999918937683,861.781982421875,183.76199340820312,0.9980000257492065,866.4869995117188,204.5919952392578,0.9940000176429749,879.0850219726562,244.57400512695312,0.996999979019165,909.5280151367188,222.2100067138672,0.996999979019165,910.0239868164062,250.38900756835938,0.9980000257492065
11,327.2300109863281,678.760009765625,0.9990000128746033,309.99700927734375,723.364013671875,0.9980000257492065,346.1099853515625,716.60400390625,0.996999979019165,329.2690124511719,735.1530151367188,0.9950000047683716,321.35400390625,778.5800170898438,0.9959999918937683,369.3699951171875,755.7689819335938,0.9940000176429749,356.59698486328125,797.0440063476562,0.9900000095367432,824.3770141601562,174.6510009765625,0.9990000128746033,841.2830200195312,202.5959930419922,0.9959999918937683,861.7839965820312,183.76199340820312,0.9980000257492065,866.489013671875,204.5919952392578,0.9940000176429749,879.0850219726562,244.57400512695312,0.9980000257492065,909.5289916992188,222.21600341796875,0.996999979019165,910.0250244140625,250.38999938964844,0.9980000257492065
12,327.3110046386719,678.760009765625,0.9990000128746033,310.06201171875,723.364013671875,0.9980000257492065,346.1099853515625,716.6719970703125,0.996999979019165,329.2460021972656,735.135986328125,0.9950000047683716,321.3609924316406,778.5499877929688,0.9959999918937683,369.375,755.7689819335938,0.9940000176429749,356.59698486328125,797.0440063476562,0.9900000095367432,824.3809814453125,174.65499877929688,0.9990000128746033,841.2919921875,202.5970001220703,0.9959999918937683,861.7860107421875,183.76400756835938,0.9980000257492065,866.489013671875,204.593994140625,0.9940000176429749,879.072998046875,244.57400512695312,0.9980000257492065,909.5330200195312,222.21600341796875,0.996999979019165,910.0250244140625,250.39100646972656,0.9980000257492065
13,327.3330078125,678.760009765625,0.9990000128746033,310.1319885253906,723.364013671875,0.9980000257492065,346.1449890136719,716.6719970703125,0.996999979019165,329.2460021972656,735.135986328125,0.9950000047683716,321.3609924316406,778.5499877929688,0.9959999918937683,369.3819885253906,755.7689819335938,0.9940000176429749,356.6400146484375,797.0020141601562,0.9900000095367432,824.3809814453125,174.656005859375,0.9990000128746033,841.3280029296875,202.6320037841797,0.9959999918937683,861.8189697265625,183.77999877929688,0.9980000257492065,866.5499877929688,204.6230010986328,0.9940000176429749,879.072998046875,244.5850067138672,0.9980000257492065,909.5390014648438,222.28700256347656,0.996999979019165,910.0269775390625,250.39500427246094,0.9980000257492065
14,327.375,679.0540161132812,0.9990000128746033,310.1319885253906,723.3499755859375,0.9980000257492065,346.1449890136719,716.6380004882812,0.996999979019165,329.239990234375,735.0880126953125,0.9950000047683716,321.33599853515625,778.5339965820312,0.9959999918937683,369.39801025390625,755.8579711914062,0.9940000176429749,356.6409912109375,796.9580078125,0.9900000095367432,824.3939819335938,174.6580047607422,0.9990000128746033,841.3280029296875,202.6320037841797,0.9959999918937683,861.8250122070312,183.79299926757812,0.9980000257492065,866.551025390625,204.6230010986328,0.9940000176429749,879.0689697265625,244.59800720214844,0.9980000257492065,909.5390014648438,222.28700256347656,0.996999979019165,910.0269775390625,250.39500427246094,0.9980000257492065
15,327.375,679.0789794921875,0.9990000128746033,310.1600036621094,723.3499755859375,0.9980000257492065,346.1000061035156,716.60400390625,0.996999979019165,329.2460021972656,735.0960083007812,0.9950000047683716,321.3240051269531,778.5369873046875,0.9959999918937683,369.4100036621094,755.9030151367188,0.9940000176429749,356.64300537109375,796.9550170898438,0.9900000095367432,824.4030151367188,174.6580047607422,0.9990000128746033,841.3280029296875,202.6320037841797,0.9959999918937683,861.8319702148438,183.79299926757812,0.9980000257492065,866.5599975585938,204.6230010986328,0.9940000176429749,879.0640258789062,244.59800720214844,0.9980000257492065,909.5419921875,222.28700256347656,0.996999979019165,910.0269775390625,250.4040069580078,0.9980000257492065
16,327.375,679.22802734375,0.9990000128746033,310.2049865722656,723.2849731445312,0.9980000257492065,346.09100341796875,716.5599975585938,0.996999979019165,329.2720031738281,735.1110229492188,0.9950000047683716,321.2869873046875,778.5499877929688,0.9959999918937683,369.4110107421875,755.9290161132812,0.9940000176429749,356.64801025390625,796.93798828125,0.9900000095367432,824.406005859375,174.6580047607422,0.9990000128746033,841.3270263671875,202.6320037841797,0.9959999918937683,861.8350219726562,183.79299926757812,0.9980000257492065,866.5659790039062,204.6230010986328,0.9940000176429749,879.0609741210938,244.59800720214844,0.9980000257492065,909.5399780273438,222.2830047607422,0.996999979019165,910.030029296875,250.4040069580078,0.9980000257492065
17,327.35699462890625,679.22802734375,0.9990000128746033,310.2149963378906,723.2849731445312,0.9980000257492065,346.09100341796875,716.5599975585938,0.996999979019165,329.2860107421875,735.1110229492188,0.9950000047683716,321.27899169921875,778.5499877929688,0.9959999918937683,369.4259948730469,755.9290161132812,0.9940000176429749,356.6549987792969,796.93798828125,0.9900000095367432,824.406005859375,174.6580047607422,0.9990000128746033,841.3200073242188,202.6320037841797,0.9959999918937683,861.8350219726562,183.77699279785156,0.9980000257492065,866.5830078125,204.6230010986328,0.9940000176429749,879.0449829101562,244.5679931640625,0.9980000257492065,909.541015625,222.2480010986328,0.996999979019165,910.0330200195312,250.4040069580078,0.9980000257492065
18,327.35699462890625,679.22802734375,0.9990000128746033,310.2439880371094,723.281982421875,0.9980000257492065,346.0360107421875,716.4509887695312,0.996999979019165,329.2720031738281,735.1110229492188,0.9950000047683716,321.27899169921875,778.5469970703125,0.9959999918937683,369.4330139160156,755.9290161132812,0.9940000176429749,356.6549987792969,796.93798828125,0.9900000095367432,824.406005859375,174.66099548339844,0.9990000128746033,841.3159790039062,202.64100646972656,0.9959999918937683,861.8359985351562,183.76400756835938,0.9980000257492065,866.5960083007812,204.62600708007812,0.9940000176429749,879.030029296875,244.56500244140625,0.9980000257492065,909.541015625,222.24200439453125,0.996999979019165,910.0399780273438,250.39599609375,0.9980000257492065
